crop,crop_group,known_tier_hint,target_countries,notes
basil,culinary_herb,B,US,"AMS specialty herbs; bunches and clamshells are both real packs."
cilantro,culinary_herb,B,US,"AMS; normalize bunch count."
dill,culinary_herb,B,US,"AMS."
mint,culinary_herb,B,US,"Generic mint is distinct from peppermint/spearmint oil crops."
oregano,culinary_herb,B,US,"AMS."
rosemary,culinary_herb,B,US,"AMS."
sage,culinary_herb,B,US,"AMS."
tarragon,culinary_herb,B,US,"AMS."
thyme,culinary_herb,B,US,"AMS."
chives,culinary_herb,B,US,"AMS."
parsley,culinary_herb,B,US,"AMS; curly and flat leaf are separate varieties."
lavender,medicinal_herb,C,"US,CA","Cross-listed ornamental; census horticultural specialties line item."
echinacea,medicinal_herb,E,US,"No dedicated recurring public price series identified."
chamomile,medicinal_herb,E,US,"No dedicated recurring public price series identified."
valerian,medicinal_herb,E,US,"No dedicated recurring public price series identified."
st_johns_wort,medicinal_herb,E,US,"No dedicated recurring public price series identified."
agaricus_white_button,mushroom,A,US,"NASS special survey 'Mushrooms', Agaricus price/lb."
agaricus_cremini,mushroom,B,US,"Agaricus brown; usually folded into Agaricus series, verify."
agaricus_portobello,mushroom,B,US,"Large cremini; same Agaricus caveat."
shiitake,mushroom,A,US,"NASS special survey, 'Mushrooms, Specialty' Shiitake."
oyster_mushroom,mushroom,B,US,"NASS specialty oyster; AMS where reported."
lions_mane,mushroom,D,US,"Specialty; thin AMS coverage, verify per market."
maitake,mushroom,D,US,"Specialty; thin AMS coverage, verify per market."
wood_ear,mushroom,E,US,"No dedicated recurring public price series identified."
enoki,mushroom,B,US,"AMS specialty mushrooms where reported."
peony,botanical_ornamental,D,US,"Cut-flower auction data; no public recurring federal series."
saffron,botanical_ornamental,D,US,"Confirmed no NASS/AMS/census coverage; trade proxy only."
lentils,pulse_specialty,A,"US,CA","Established commodity; NASS + provincial cash bids."
chickpeas,pulse_specialty,A,"US,CA","NASS; provincial coverage varies by year, verify per issue."
dry_peas,pulse_specialty,A,"US,CA","NASS."
dry_beans,pulse_specialty,A,"US,CA","NASS."
flax,oilseed_specialty,A,"US,CA","NASS + Alberta Weekly Crop Market Review cash bids."
mustard,oilseed_specialty,B,"US,CA","Provincial cash bids; NASS coverage is thin."
hemp_seed,oilseed_specialty,D,US,"Nascent commodity; sparse public recurring pricing."
wasabi,root_spice,E,US,"Exhaustive check expected to fail; no domestic recurring series."
ginger,root_spice,B,US,"AMS; often import-heavy, preserve origin and pack."
turmeric,root_spice,B,US,"AMS; no dedicated NASS series."
stevia,sweetener,E,US,"No defensible recurring public price source identified."
maple_syrup,sweetener,A,US,"NASS annual production/price; also appears in core Census."
microgreens_mixed,microgreen_leafy,B2,US,"Only a direct Tier B2 farmers-market price line found."
pea_shoots,microgreen_leafy,B2,US,"Tier B2 farmers-market reports where listed."
arugula_micro,microgreen_leafy,B2,US,"Tier B2 farmers-market reports where listed."
radish_micro,microgreen_leafy,B2,US,"Tier B2 farmers-market reports where listed."
